subject,trial,Condition,Age,pupil_max
10,34,Sparse,YA,927.84
10,35,Sparse,YA,630.06
10,36,Sparse,YA,177.38
10,37,Sparse,YA,803.34
10,38,Sparse,YA,420.6
10,39,Dense,YA,799.5
10,40,Sparse,YA,985.1
10,41,Sparse,YA,681.58
10,42,Dense,YA,632.3
10,43,Dense,YA,746.32
10,44,Dense,YA,921.84
10,45,Sparse,YA,845.64
10,46,Sparse,YA,484.16
10,47,Dense,YA,354.02
10,48,Sparse,YA,1817.66
10,49,Sparse,YA,544.58
10,50,Sparse,YA,330.06
10,51,Sparse,YA,396.5
10,52,Dense,YA,218.38
10,53,Sparse,YA,150.16
10,54,Dense,YA,1014.66
10,55,Sparse,YA,289.96
10,56,Sparse,YA,244.96
10,57,Sparse,YA,393.699999999999
10,58,Dense,YA,301.3
10,59,Sparse,YA,240.020000000001
10,60,Dense,YA,49.8584615384618
10,61,Dense,YA,247.699999999999
10,62,Dense,YA,1511.26
10,63,Dense,YA,408.24
10,64,Sparse,YA,74.98
10,65,Sparse,YA,130.16
10,66,Dense,YA,86.5199999999997
10,67,Dense,YA,892.4
10,68,Sparse,YA,120.96
10,69,Dense,YA,443.82
10,70,Dense,YA,454.92
10,71,Sparse,YA,738.639999999999
10,72,Sparse,YA,682.32
10,73,Sparse,YA,215.88
10,74,Dense,YA,165.74
10,75,Dense,YA,66.0599999999999
10,76,Dense,YA,334.44
10,77,Dense,YA,248.88
10,78,Sparse,YA,114.68
10,79,Dense,YA,199.96
10,80,Dense,YA,2141.52
10,81,Sparse,YA,436.844310344828
10,82,Dense,YA,72.6599999999993
10,83,Dense,YA,32.4799999999999
10,84,Sparse,YA,34.4399999999992
11,21,Dense,YA,138.54
11,22,Dense,YA,338.9
11,23,Dense,YA,164.52
11,24,Sparse,YA,239.76
11,25,Dense,YA,160.34
11,26,Sparse,YA,171.2
11,27,Sparse,YA,31.76
11,28,Sparse,YA,141.72
11,29,Dense,YA,472.18
11,30,Sparse,YA,71.8000000000001
11,31,Dense,YA,565.52
11,32,Sparse,YA,115.76
11,33,Dense,YA,751.02
11,34,Dense,YA,17.08
11,35,Dense,YA,285.88
11,36,Sparse,YA,247.96
11,37,Sparse,YA,16.7000000000003
11,38,Sparse,YA,185.82
11,39,Sparse,YA,84.28
